CaseID,Event_Name,City,Year,Month,YYYY-MM,Key_Pollutant,PM2.5_ugm3,NO2_ppb,Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,DriverCause,Intervention_Type,Policy_Event,Outcome,SourceReference,Notes
CS160,Beirut_Crisis_Pollution,Beirut,2022,08,2022-08,PM2.5,55,95,30,0,2.8,440,Diesel generators + vehicle emissions + trash burning + port activities + economic crisis,Policy,Emergency Energy Plan,Grid restoration efforts; generator emission limits,https://pmc.ncbi.nlm.nih.gov/articles/PMC9853520/,Economic collapse; generator pollution; trash crisis
CS161,Damascus_Conflict_Impact,Damascus,2022,07,2022-07,PM2.5,65,102,34,0,2.5,420,Vehicle emissions + generator use + conflict damage + limited monitoring + dust,Policy,Limited Environmental Capacity,Conflict prevents systematic air quality management,https://pmc.ncbi.nlm.nih.gov/articles/PMC9853520/,War-torn city; infrastructure damage; limited data
CS162,Sanaa_High_Altitude,Sana'a,2022,06,2022-06,PM2.5,58,85,28,15,2.0,400,Vehicle emissions + generator use + construction dust + conflict + high altitude 2300m,Policy,Humanitarian Crisis Management,Limited capacity; conflict prevents environmental action,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Conflict zone; high altitude; humanitarian crisis
CS163,Tripoli_Post_Conflict,Tripoli,2022,07,2022-07,PM2.5,52,88,32,0,4.0,520,Vehicle emissions + generator use + oil infrastructure + desert dust + conflict aftermath,Policy,Reconstruction Environmental Plan,Monitoring network restoration efforts,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Post-conflict recovery; oil infrastructure; desert location
CS164,Algiers_Coastal_Capital,Algiers,2023,07,2023-07,PM2.5,42,75,28,5,3.2,460,Vehicle emissions + port activities + industrial zone + coastal conditions,Policy,Algeria Environmental Law,Emission standards; monitoring expansion,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Mediterranean coast; vehicle density; port pollution
CS165,Rabat_Atlantic_Coast,Rabat,2023,08,2023-08,PM2.5,35,68,26,12,4.0,500,Vehicle emissions + port activities + industrial sources + coastal winds,Policy,Morocco Green Plan,Renewable energy; emission controls,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Atlantic coast; capital city; relatively better air quality
CS166,Khartoum_Dust_Heat,Khartoum,2023,06,2023-06,PM2.5,85,78,40,0,4.5,620,Desert dust storms + vehicle emissions + brick kilns + extreme heat + Sahel location,Policy,Limited Environmental Capacity,Political instability prevents systematic action,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Nile confluence; Sahel desert; extreme dust; conflict affected
CS167,Addis_Growth_2023,Addis Ababa,2023,11,2023-11,PM2.5,95,78,18,45,2.5,460,Construction boom + unpaved roads + vehicle growth + eucalyptus burning + rapid urbanization,Policy,Addis Ababa Clean Air Plan,Paving program; vehicle emission testing; monitoring expansion,https://www.cleanairfund.org/theme/air-quality-in-africa/,Rapid growth; infrastructure boom; altitude 2400m
CS168,Lagos_Megacity_Crisis,Lagos,2023,02,2023-02,PM2.5,125,92,32,25,2.8,480,Generator pollution + vehicle emissions + waste burning + industrial activity + coastal conditions,Policy,Lagos State Environmental Law,Generator regulations; waste management; vehicle inspection,https://www.cleanairfund.org/theme/air-quality-in-africa/,Africa's largest city; generator dependence; chronic pollution
CS169,Kinshasa_Congo_Capital,Kinshasa,2023,07,2023-07,PM2.5,88,72,28,85,2.5,520,Charcoal burning + vehicle emissions + dust from unpaved roads + waste burning,Policy,DRC Environmental Code,Limited enforcement; capacity constraints,https://www.cleanairfund.org/theme/air-quality-in-africa/,Mega-city; charcoal dependence; Congo River location
CS170,Abidjan_Economic_Hub,Abidjan,2023,01,2023-01,PM2.5,72,68,30,15,3.0,480,Vehicle emissions + port activities + industrial zone + waste burning + lagoon conditions,Policy,Côte d'Ivoire Clean Air Initiative,Port emission controls; vehicle standards,https://www.cleanairfund.org/theme/air-quality-in-africa/,Economic capital; lagoon city; port pollution
CS171,Ouagadougou_Sahel_Dust,Ouagadougou,2023,03,2023-03,PM10,195,58,38,5,4.5,600,Saharan dust + unpaved roads + motorcycle emissions + construction dust + Sahel location,Infrastructure,Urban Paving Program,Road infrastructure; dust suppression,https://www.cleanairfund.org/theme/air-quality-in-africa/,Sahel landlocked; dust predominant; motorcycle capital
CS172,Bamako_Niger_River,Bamako,2023,03,2023-03,PM10,175,62,36,8,4.0,580,Dust storms + unpaved roads + vehicle emissions + waste burning + Sahel conditions,Policy,Mali Environmental Plan,Limited implementation; security constraints,https://www.cleanairfund.org/theme/air-quality-in-africa/,Niger River location; Sahel dust; security challenges
CS173,Niamey_Sahel_Capital,Niamey,2023,04,2023-04,PM10,188,55,40,12,5.0,620,Saharan dust + unpaved roads + vehicle emissions + construction + extreme heat,Infrastructure,Niamey Urban Development,Road paving; green infrastructure,https://www.cleanairfund.org/theme/air-quality-in-africa/,Niger River; Sahel zone; dust storms frequent
CS174,Conakry_Coastal_Growth,Conakry,2023,02,2023-02,PM2.5,78,65,32,35,3.5,500,Vehicle emissions + port activities + mining dust + unpaved roads + coastal conditions,Policy,Guinea Mining Regulations,Emission controls for mining transport; port standards,https://www.cleanairfund.org/theme/air-quality-in-africa/,Atlantic coast; bauxite export; mining impact
CS175,Freetown_Hills_Coast,Freetown,2023,02,2023-02,PM2.5,68,58,31,55,3.8,520,Vehicle emissions + port activities + construction + hillside erosion dust + coastal winds,Infrastructure,Freetown Tree Town,Urban greening; hillside stabilization,https://www.cleanairfund.org/theme/air-quality-in-africa/,Hilly peninsula; coastal capital; erosion compounds dust
